"Albert C Reed",,,,
"Albert Edward Millett","Q98579174","1934 Weston-super-Mare by-election","Weston-super-Mare","Labour Party"
"Alex Begg",,,,
"Anthony Prior",,,,
"Christopher Hudson",,,,
"Colin Rolfe",,,,
"David E Evans",,,,
"Diane Wood",Q75975170,,,
"Emily McIvor",,,,
"Geoffrey F. Taylor",,,,
"Geoffrey Fawsitt Taylor",,,,
"George Sandeman",,,,
"Graham Livings",,,,
"Ian Jenkins",,,,
"Ian Martin",,,,
"J. E. Tippett",,,,
"J. R. Brough",,,,
"J.E. Tippett",,,,
"James Douglas Bateman",,,,
"James Lievsley George",,,,
"Jay Risbridger",,,,
"Jo Roundell Greene",,,,
"Joe Conway",,,,
"John A Elswood",,,,
"John Archer",,,,
"John Beveridge",,,,
"John Fitzmaurice",,,,
"Julian Davidson",,,,
"Katy Pritchard",,,,
"Kevin Davis",,,,
"Lee Skevington",,,,
"M. T. McVicar",,,,
"M.T. McVicar",,,,
"Marco Forgione",,,,
"Marguerite L Winsor",,,,
"Maurice Shinwell",,,,
"Mick Clark","Q75838893","2019 United Kingdom general election","Yeovil","Liberal Democrats"
"Moss Murray",,,,
"Neil Boxall",,,,
"Nicholas Cambrook",,,,
"Nigel Pearson",,,,
"Patrick Conway",,,,
"Percy Holt Heffer",,,,
"Peter Brushett",,,,
"Reginald Simmerson",,,,
"Robert Baehr",,,,
"Robert Wood",,,,
"Sheena King",,,,
"Simon Smedley",,,,
"Terence Ledlie",Q75720085,,,
"Tom Fox","Q75996301","2019 United Kingdom general election","Yeovil","The Constitution and Reform Party"
"Tony Capozzoli","Q76509799","2019 United Kingdom general election","Yeovil","independent politician"
"Vivien Elson",,,,
"W. Alex Baker",,,,
